date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:48	10260/10260	U-----	200	untouched ('OK')	text/css	etag:%222814-6251df0fb5214%22	http://engo.test/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min52dd.css	(from http://engo.test/)
16:41:48	7183/7183	U-----	200	untouched ('')	application/rss+xml	etag:%22684f54c0e70ee0b61f7d3566e29af793%22	http://engo.test/feed/	C:/My%20Web%20Sites/engo/engo.test/feed/	(from http://engo.test/)
16:41:48	16471/16471	U-----	200	untouched ('OK')	text/css	etag:%224057-6251df1115b3c%22	http://engo.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://engo.test/)
16:41:48	694/694	U-----	200	untouched ('')	application/rss+xml	etag:%22684f54c0e70ee0b61f7d3566e29af793%22	http://engo.test/comments/feed/	C:/My%20Web%20Sites/engo/engo.test/comments/feed/	(from http://engo.test/)
16:41:48	9272/9272	---M--	200	added ('OK')	text/css	etag:%222438-625875d42275f%22	http://engo.test/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1730113175	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/custom-pro-frontend.minc9df.css	(from http://engo.test/)
16:41:48	50286/50286	---M--	200	added ('OK')	text/css	etag:%22c46e-625878887f017%22	http://engo.test/wp-content/uploads/elementor/css/global.css?ver=1730113901	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/global7c92.css	(from http://engo.test/)
16:41:49	106581/106581	---M--	200	added ('OK')	text/css	etag:%221a055-625878897b1b4%22	http://engo.test/wp-content/uploads/elementor/css/post-8.css?ver=1730113902	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-8b6a9.css	(from http://engo.test/)
16:41:51	7817/7817	---M--	200	added ('OK')	text/css	etag:%221e89-625875d4a64d7%22	http://engo.test/wp-content/uploads/elementor/css/post-32.css?ver=1730113176	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-32dd31.css	(from http://engo.test/)
16:41:52	9017/9017	---M--	200	added ('OK')	text/css	etag:%222339-625875d4ca39a%22	http://engo.test/wp-content/uploads/elementor/css/post-417.css?ver=1730113176	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-417dd31.css	(from http://engo.test/)
16:41:52	1220/1220	---M--	200	added ('OK')	text/css	etag:%224c4-625875d4d8388%22	http://engo.test/wp-content/uploads/elementor/css/post-1789.css?ver=1730113176	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-1789dd31.css	(from http://engo.test/)
16:41:52	255/255	---M--	200	added ('OK')	text/css	etag:%22ff-625875d4de409%22	http://engo.test/wp-content/uploads/elementor/css/post-1783.css?ver=1730113176	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-1783dd31.css	(from http://engo.test/)
16:41:52	87553/87553	U-----	200	untouched ('')	application/javascript	etag:%2215601-603fed35e19c0%22	http://engo.test/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/jquery/jquery.minf43b.js	(from http://engo.test/)
16:41:53	13577/13577	U-----	200	untouched ('')	application/javascript	etag:%223509-5fdabee5f2100%22	http://engo.test/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://engo.test/)
16:41:56	763/763	U-----	200	untouched ('')	text/xml	date:Mon,%2028%20Oct%202024%2008:02:29%20GMT	http://engo.test/xmlrpc.php?rsd	C:/My%20Web%20Sites/engo/engo.test/xmlrpc0db0.php	(from http://engo.test/)
16:41:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202024%2011:11:53%20GMT	http://engo.test/contact-us	C:/My%20Web%20Sites/engo/engo.test/contact-us.14.delayed	(from http://engo.test/)
16:41:58	2510/2510	U-----	200	untouched ('')	application/json	date:Mon,%2028%20Oct%202024%2008:02:30%20GMT	http://engo.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fengo.test%2F	C:/My%20Web%20Sites/engo/engo.test/wp-json/oembed/1.0/embed8b85.json	(from http://engo.test/)
16:41:58	0/-1	---M--	301	error ('')			http://engo.test/contact-us	C:/My%20Web%20Sites/engo/engo.test/contact-us.15.delayed	(from http://engo.test/)
16:41:58	1325/1325	U-----	200	untouched ('OK')	image/svg+xml	etag:%2252d-6251ede8b7272%22	http://engo.test/wp-content/uploads/2024/10/engo-favicon.svg	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/engo-favicon.svg	(from http://engo.test/)
16:41:58	2720/2720	U-----	200	untouched ('')	text/xml	date:Mon,%2028%20Oct%202024%2008:02:32%20GMT	http://engo.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fengo.test%2F&format=xml	C:/My%20Web%20Sites/engo/engo.test/wp-json/oembed/1.0/embedd44c	(from http://engo.test/)
16:41:58	12513/12513	U-----	200	untouched ('OK')	image/svg+xml	etag:%2230e1-6251ed96a8145%22	http://engo.test/wp-content/uploads/2024/10/engo-logo.svg	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/engo-logo.svg	(from http://engo.test/)
16:41:59	26763/26763	---M--	200	added ('OK')	text/css	etag:%22688b-625875d3ece50%22	http://engo.test/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min.css?ver=1730113175	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.minc9df.css	(from http://engo.test/)
16:42:09	114083/114083	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:11:58%20GMT	http://engo.test/courses/engo-junior/	C:/My%20Web%20Sites/engo/engo.test/courses/engo-junior/	(from http://engo.test/)
16:42:09	114325/114325	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:11:59%20GMT	http://engo.test/courses/engo-standard/	C:/My%20Web%20Sites/engo/engo.test/courses/engo-standard/	(from http://engo.test/)
16:42:10	86882/86882	U--MC-	200	updated ('OK')	application/json	date:Mon,%2028%20Oct%202024%2011:11:53%20GMT	http://engo.test/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/engo/engo.test/wp-json/wp/v2/pages/8.json	(from http://engo.test/)
16:42:11	1369/1369	---M--	200	added ('OK')	text/css	etag:%22559-625875d3e0f65%22	http://engo.test/wp-content/uploads/elementor/css/custom-widget-image-box.min.css?ver=1730113175	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/custom-widget-image-box.minc9df.css	(from http://engo.test/)
16:42:20	96990/96990	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:09%20GMT	http://engo.test/level-test/	C:/My%20Web%20Sites/engo/engo.test/level-test/	(from http://engo.test/)
16:42:20	236229/236229	U--MC-	200	updated ('OK')	application/json	date:Mon,%2028%20Oct%202024%2011:11:53%20GMT	http://engo.test/wp-json/	C:/My%20Web%20Sites/engo/engo.test/wp-json/	(from http://engo.test/)
16:42:22	85230/85230	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:11%20GMT	http://engo.test/about-us/	C:/My%20Web%20Sites/engo/engo.test/about-us/	(from http://engo.test/)
16:42:22	114245/114245	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:09%20GMT	http://engo.test/courses/engo-business/	C:/My%20Web%20Sites/engo/engo.test/courses/engo-business/	(from http://engo.test/)
16:42:22	8130/8130	U--M--	200	updated ('OK')	image/png	etag:%221fc2-62586d10b0f24%22	http://engo.test/wp-content/uploads/2024/10/highlight-img1.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/highlight-img1.png	(from http://engo.test/)
16:42:22	22414/22414	U--M--	200	updated ('OK')	image/png	etag:%22578e-62586d0dd2983%22	http://engo.test/wp-content/uploads/2024/10/img1.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/img1.png	(from http://engo.test/)
16:42:22	10069/10069	---M--	200	added ('OK')	text/css	etag:%222755-625875d3dd505%22	http://engo.test/wp-content/uploads/elementor/css/custom-widget-icon-box.min.css?ver=1730113175	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/custom-widget-icon-box.minc9df.css	(from http://engo.test/)
16:42:27	7756/7756	U--M--	200	updated ('OK')	image/png	etag:%221e4c-62586d169d160%22	http://engo.test/wp-content/uploads/2024/10/highlight-img2-1.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/highlight-img2-1.png	(from http://engo.test/)
16:42:27	8724/8724	U--M--	200	updated ('OK')	image/png	etag:%222214-62586d149a1b8%22	http://engo.test/wp-content/uploads/2024/10/highlight-img3.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/highlight-img3.png	(from http://engo.test/)
16:42:28	78826/78826	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:20%20GMT	http://engo.test/blog/	C:/My%20Web%20Sites/engo/engo.test/blog/	(from http://engo.test/)
16:42:28	82004/82004	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:20%20GMT	http://engo.test/contact-us/	C:/My%20Web%20Sites/engo/engo.test/contact-us/	(from http://engo.test/)
16:42:28	3801/3801	---M--	200	added ('OK')	text/css	etag:%22ed9-6258788a4b76d%22	http://engo.test/wp-content/uploads/elementor/css/post-155.css?ver=1730113903	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-155e7ed.css	(from http://engo.test/)
16:42:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202024%2011:12:27%20GMT	http://engo.test/courses/engo-standard	C:/My%20Web%20Sites/engo/engo.test/courses/engo-standard	(from http://engo.test/)
16:42:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202024%2011:12:27%20GMT	http://engo.test/courses/engo-junior	C:/My%20Web%20Sites/engo/engo.test/courses/engo-junior	(from http://engo.test/)
16:42:28	3772/3772	---M--	200	added ('OK')	text/css	etag:%22ebc-6258788a5cb9b%22	http://engo.test/wp-content/uploads/elementor/css/post-191.css?ver=1730113903	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-191e7ed.css	(from http://engo.test/)
16:42:29	3822/3822	---M--	200	added ('OK')	text/css	etag:%22eee-6258788a72057%22	http://engo.test/wp-content/uploads/elementor/css/post-202.css?ver=1730113903	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/post-202e7ed.css	(from http://engo.test/)
16:42:29	5883/5883	U--M--	200	updated ('OK')	image/png	etag:%2216fb-62586d554a8a5%22	http://engo.test/wp-content/uploads/2024/10/cta-3d-1.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/cta-3d-1.png	(from http://engo.test/)
16:42:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202024%2011:12:28%20GMT	http://engo.test/courses/engo-business	C:/My%20Web%20Sites/engo/engo.test/courses/engo-business	(from http://engo.test/)
16:42:30	6907/6907	U--M--	200	updated ('OK')	image/png	etag:%221afb-62586d57482f7%22	http://engo.test/wp-content/uploads/2024/10/cta-3d2.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/cta-3d2.png	(from http://engo.test/)
16:42:30	7025/7025	---M--	200	added ('OK')	text/css	etag:%221b71-625875d3d3154%22	http://engo.test/wp-content/uploads/elementor/css/custom-apple-webkit.min.css?ver=1730113175	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/elementor/css/custom-apple-webkit.minc9df.css	(from http://engo.test/)
16:42:30	2815/2815	U--M--	200	updated ('OK')	image/png	etag:%22aff-62586d6ca6956%22	http://engo.test/wp-content/uploads/2024/10/Ellipse-1.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/Ellipse-1.png	(from http://engo.test/)
16:42:30	2814/2814	U--M--	200	updated ('OK')	image/png	etag:%22afe-62586d6d78663%22	http://engo.test/wp-content/uploads/2024/10/Ellipse-2-4.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/Ellipse-2-4.png	(from http://engo.test/)
16:42:31	2704/2704	U--M--	200	updated ('OK')	image/png	etag:%22a90-62586d6e323f4%22	http://engo.test/wp-content/uploads/2024/10/Ellipse-2-5.png	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/Ellipse-2-5.png	(from http://engo.test/)
16:42:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202024%2011:12:29%20GMT	http://engo.test/level-test	C:/My%20Web%20Sites/engo/engo.test/level-test	(from http://engo.test/)
16:42:31	3428/3428	---M--	200	added ('OK')	application/javascript	etag:%22d64-6251dec3ada1e%22	http://engo.test/wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.3	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/jquery/ui/mouse.minb37e.js	(from http://engo.test/)
16:42:31	10759/10759	---M--	200	added ('OK')	application/javascript	etag:%222a07-6251dec3b276f%22	http://engo.test/wp-includes/js/jquery/ui/slider.min.js?ver=1.13.3	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/jquery/ui/slider.minb37e.js	(from http://engo.test/)
16:42:31	2825/2825	---M--	200	added ('OK')	application/javascript	etag:%22b09-62586b9672e33%22	http://engo.test/wp-content/uploads/theplus-addons/theplus-post-8.min.js?ver=1730110411	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/theplus-addons/theplus-post-8.min0cc3.js	(from http://engo.test/)
16:42:37	58882/58882	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:31%20GMT	http://engo.test/2024/10/24/the-importance-of-english-grammar/	C:/My%20Web%20Sites/engo/engo.test/2024/10/24/the-importance-of-english-grammar/	(from http://engo.test/)
16:42:38	59254/59254	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:32%20GMT	http://engo.test/2024/10/24/how-to-choose-the-right-english-language-course/	C:/My%20Web%20Sites/engo/engo.test/2024/10/24/how-to-choose-the-right-english-language-course/	(from http://engo.test/)
16:42:42	60557/60557	U--MC-	200	updated ('OK')	text/html	date:Mon,%2028%20Oct%202024%2011:12:37%20GMT	http://engo.test/2024/10/24/5-tips-for-speaking-english-fluently-with-confidence/	C:/My%20Web%20Sites/engo/engo.test/2024/10/24/5-tips-for-speaking-english-fluently-with-confidence/	(from http://engo.test/)
16:42:42	254/254	U-----	200	untouched ('OK')	text/css	etag:%22fe-6251df0fe3a2d%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-image.min52dd.css	(from http://engo.test/)
16:42:42	600/600	U-----	200	untouched ('OK')	text/css	etag:%22258-6251df0fdf40d%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-heading.min52dd.css	(from http://engo.test/)
16:42:43	704/704	U-----	200	untouched ('OK')	text/css	etag:%222c0-6251df0feca53%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-text-editor.min52dd.css	(from http://engo.test/)
16:42:43	77/77	U-----	200	untouched ('OK')	text/css	etag:%224d-6251df10c901c%22	http://engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min52dd.css	(from http://engo.test/)
16:42:43	130/130	U-----	200	untouched ('OK')	text/css	etag:%2282-6251df10c9fa2%22	http://engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min52dd.css	(from http://engo.test/)
16:42:43	793/793	U-----	200	untouched ('OK')	text/css	etag:%22319-6251df0fdc54e%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-counter.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-counter.min52dd.css	(from http://engo.test/)
16:42:43	4929/4929	U-----	200	untouched ('OK')	text/css	etag:%221341-6251df0fe5572%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min52dd.css	(from http://engo.test/)
16:42:44	33009/33009	U-----	200	untouched ('OK')	text/css	etag:%2280f1-6251e9b6e1c96%22	http://engo.test/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min57a7.css	(from http://engo.test/)
16:42:45	14341/14341	U-----	200	untouched ('OK')	text/css	etag:%223805-6251e9b6f219b%22	http://engo.test/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/css/widget-posts.min57a7.css	(from http://engo.test/)
16:42:45	4875/4875	U-----	200	untouched ('OK')	text/css	etag:%22130b-6251df0fe8fe4%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-social-icons.min52dd.css	(from http://engo.test/)
16:42:45	19862/19862	U-----	200	untouched ('OK')	text/css	etag:%224d96-6251df10d76d8%22	http://engo.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.31.0	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min0fd8.css	(from http://engo.test/)
16:42:46	93067/93067	U-----	200	untouched ('OK')	text/css	etag:%2216b8b-6251df0fdd8c8%22	http://engo.test/wp-content/plugins/elementor/assets/css/widget-floating-buttons.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/css/widget-floating-buttons.min52dd.css	(from http://engo.test/)
16:42:46	198/198	U-----	200	untouched ('OK')	text/css	etag:%22c6-6251df10bc191%22	http://engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min52dd.css	(from http://engo.test/)
16:42:47	21464/21464	U-----	200	untouched ('')	application/javascript	etag:%2253d8-6251dec39d864%22	http://engo.test/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/jquery/ui/core.minb37e.js	(from http://engo.test/)
16:42:47	2749/2749	U-----	200	untouched ('')	application/javascript	etag:%22abd-6251eb19a19bd%22	http://engo.test/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.1.1	C:/My%20Web%20Sites/engo/engo.test/wp-content/themes/hello-elementor/assets/js/hello-frontend.minb12b.js	(from http://engo.test/)
16:42:47	24109/24109	U-----	200	untouched ('')	application/javascript	etag:%225e2d-6251e9b6bddac%22	http://engo.test/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.2.1	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min1576.js	(from http://engo.test/)
16:42:48	3721/3721	U-----	200	untouched ('')	application/javascript	etag:%22e89-6251e9b6bf8c3%22	http://engo.test/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min57a7.js	(from http://engo.test/)
16:42:48	1801/1801	U-----	200	untouched ('')	application/javascript	etag:%22709-6251df110c34c%22	http://engo.test/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min3958.js	(from http://engo.test/)
16:42:49	5520/5520	U-----	200	untouched ('')	application/javascript	etag:%221590-602a9bd204080%22	http://engo.test/wp-includes/js/imagesloaded.min.js?ver=5.0.0	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/imagesloaded.minbb93.js	(from http://engo.test/)
16:42:49	6213/6213	U-----	200	untouched ('')	application/javascript	etag:%221845-6251e9b67302f%22	http://engo.test/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min57a7.js	(from http://engo.test/)
16:42:49	4997/4997	U-----	200	untouched ('')	application/javascript	etag:%221385-6251df10b1a0d%22	http://engo.test/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/js/webpack.runtime.min52dd.js	(from http://engo.test/)
16:42:50	80657/80657	U-----	200	untouched ('')	application/javascript	etag:%2213b11-6251df105fd0e%22	http://engo.test/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/js/frontend-modules.min52dd.js	(from http://engo.test/)
16:42:50	4307/4307	U-----	200	untouched ('')	application/javascript	etag:%2210d3-6251dec35cc21%22	http://engo.test/wp-includes/js/dist/hooks.min.js?ver=2810c76e705dd1a53b18	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/dist/hooks.min2757.js	(from http://engo.test/)
16:42:51	9141/9141	U-----	200	untouched ('')	application/javascript	etag:%2223b5-6251dec35df94%22	http://engo.test/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/My%20Web%20Sites/engo/engo.test/wp-includes/js/dist/i18n.minc33c.js	(from http://engo.test/)
16:42:51	25050/25050	U-----	200	untouched ('')	application/javascript	etag:%2261da-6251e9b68af42%22	http://engo.test/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/js/frontend.min57a7.js	(from http://engo.test/)
16:42:51	41321/41321	U-----	200	untouched ('')	application/javascript	etag:%22a169-6251df105e6cf%22	http://engo.test/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.24.7	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor/assets/js/frontend.min52dd.js	(from http://engo.test/)
16:42:52	42791/42791	U-----	200	untouched ('')	application/javascript	etag:%22a727-6251e9b66c121%22	http://engo.test/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.24.4	C:/My%20Web%20Sites/engo/engo.test/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min57a7.js	(from http://engo.test/)
16:43:16	256855/256855	U--M--	200	updated ('OK')	image/jpeg	etag:%223eb57-62586d8699be7%22	http://engo.test/wp-content/uploads/2024/10/small-girl-thinking-about-foreign-phrases-scaled.jpg	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/small-girl-thinking-about-foreign-phrases-scaled.jpg	(from http://engo.test/)
16:43:19	280171/280171	U--M--	200	updated ('OK')	image/jpeg	etag:%224466b-62586d91b591b%22	http://engo.test/wp-content/uploads/2024/10/medium-shot-smiley-teacher-explaining-scaled.jpg	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/medium-shot-smiley-teacher-explaining-scaled.jpg	(from http://engo.test/)
16:43:29	82544/82544	U--M--	200	updated ('OK')	image/jpeg	etag:%2214270-62586d59a877e%22	http://engo.test/wp-content/uploads/2024/10/pikaso_text-to-image_Candid-image-photography-natural-textures-highly-r-1.jpeg	C:/My%20Web%20Sites/engo/engo.test/wp-content/uploads/2024/10/pikaso_text-to-image_Candid-image-photography-natural-textures-highly-r-1.jpg	(from http://engo.test/wp-content/uploads/elementor/css/post-8.css?ver=1730113902)
